City.x,State.x,Population.2017,Change,Land.Area.2016.sqmi,Population.Density.2016.sqmi,key,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,City.y,State.y,Concert.Count
New York,New York,8622698,0.0547,301.5,28317,"New York, New York",NA,NY,89,68,85,35.9,0.9,0.46,0.44,166,1987,27,26,32,44,54,63,70,68,62,52,39,35,4.3,4.2,3.4,2.9,5.6,5.9,4.9,2.9,3,3.7,3.2,4.7,53,New York,New York,8
Los Angeles,California,3999759,0.0546,468.7,8484,"Los Angeles, California",NA,CA,67,55,51,35,1,0.44,0.45,146,3297,48,50,52,55,58,61,65,65,64,60,54,48,3.5,2.9,1.5,0.7,0.5,0,0,0,0.3,0.7,0.8,2.8,74,Los Angeles,California,16
Chicago,Illinois,2716450,0.0077,227.3,11900,"Chicago, Illinois",NA,IL,78,72,65,33.9,0.9,0.41,0.45,113,4363,20,21,33,42,52,63,68,67,60,48,36,25,1.9,1.6,2.4,3.6,4.3,4.6,3.5,5.1,2.8,3.9,2.2,2.2,60,Chicago,Illinois,14
Houston,Texas,2312717,0.1012,637.5,3613,"Houston, Texas",NA,TX,49,48,37,32.7,1,0.48,0.49,91,5224,47,49,56,62,70,75,76,77,73,64,55,47,3.7,2.9,3.6,5.6,4,6,9.1,5.1,6.1,10,3.7,4,52,Houston,Texas,11
Phoenix,Arizona,1626078,0.1248,517.6,3120,"Phoenix, Arizona",NA,AZ,41,52,36,33.3,1,0.46,0.5,95,4432,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,Phoenix,Arizona,8
Philadelphia,Pennsylvania,1580863,0.0359,134.2,11683,"Philadelphia, Pennsylvania",NA,PA,79,66,67,33.9,0.9,0.38,0.42,104,4011,26,26,33,44,54,64,70,68,61,50,39,31,3.3,2.6,3.6,4,3.9,4.8,5,5.8,4.3,4.7,2.8,4.7,57,Philadelphia,Pennsylvania,9
San Antonio,Texas,1511946,0.139,461,3238,"San Antonio, New Mexico",NA,TX,38,42,36,33.1,1,0.49,0.47,86,5552,42,47,54,60,67,73,75,75,71,62,53,45,2.4,1.2,2.5,2.4,4.4,1.8,2.3,2.9,3.2,2.4,1.5,1.8,45,NA,NA,NA
San Diego,California,1419516,0.0858,325.2,4325,"San Diego, California",NA,CA,51,39,37,34.2,1,0.48,0.45,146,2210,49,51,54,56,60,62,66,67,66,61,55,49,1.7,1.8,1,0.6,0.4,0,0.2,0,0.2,0.5,0.9,2.2,61,San Diego,California,13
Dallas,Texas,1341075,0.1196,340.9,3866,"Dallas, Texas",NA,TX,46,46,40,32.5,1,0.46,0.49,95,3960,39,42,50,57,67,75,77,78,70,58,50,39,3.4,2.1,6.1,2.8,4.2,4.1,2.4,2.6,5,5,2.7,2.3,54,Dallas,Texas,12
San Jose,California,1035317,0.0945,177.5,5777,"San Jose, California",NA,CA,51,59,41,36.1,1,0.56,0.48,177,2844,41,44,46,48,52,56,58,58,57,53,46,41,2.5,2.5,2.1,1.3,0.3,0.2,0,0,0.1,0.6,1.3,2.4,48,San Jose,California,2
Austin,Texas,950715,0.2028,312.7,3031,"Austin, Texas",NA,TX,40,51,34,32.4,1,0.44,0.49,107,3604,42,46,53,60,66,73,75,76,71,61,52,44,3,1.5,4,2.9,5.9,3.4,3,2.2,4.5,3.9,2.4,2.5,41,Austin,Texas,10
Jacksonville,Florida,892062,0.0855,747.4,1178,"Jacksonville, Florida",NA,FL,27,40,22,35.7,0.9,0.5,0.42,93,4158,47,49,55,63,69,75,77,77,75,66,56,52,3.1,2.9,2.8,2.6,4.8,8.1,6.4,6.7,4.7,3.4,1.8,2.9,38,Jacksonville,Florida,5
San Francisco,California,884363,0.0983,46.9,18569,"San Francisco, California",NA,CA,86,71,80,38.4,1,0.45,0.35,202,6883,44,46,47,49,51,54,56,56,56,54,49,44,3.2,3.4,2.7,1.7,0.3,0.2,0,0,0.1,1,1.7,4.4,43,San Francisco,California,9
Columbus,Ohio,879170,0.1171,218.5,3936,"Columbus, Ohio",NA,OH,41,47,31,32.1,1,0.42,0.48,89,4458,22,22,32,42,52,61,65,64,57,45,34,27,3.2,2.6,4.4,3.8,3.6,4.8,4.8,3.7,3.6,3.9,2.7,3.9,43,Columbus,Ohio,7
Fort Worth,Texas,874168,0.1794,342.9,2491,"Fort Worth, Texas",NA,TX,34,36,20,32,1,0.52,0.54,96,3776,36,40,49,55,64,73,75,75,68,56,48,36,2.4,2,4.7,3.5,3.9,5.1,3.3,2.1,3.5,2.9,2.9,1.6,54,NA,NA,NA
Indianapolis,Indiana,863002,0.0519,361.5,2366,"Indianapolis, Indiana",NA,IN,30,42,23,34,0.9,0.45,0.47,89,5746,20,21,32,42,52,62,65,65,57,45,33,25,3.5,2.6,4,5.3,4.8,5.7,4.9,3.3,3.4,3.2,3.3,4.1,59,Indianapolis,Indiana,3
Charlotte,North Carolina,859035,0.1745,305.4,2757,"Charlotte, North Carolina",NA,NC,26,30,27,33.8,0.9,0.48,0.5,99,4479,30,32,39,47,56,65,68,68,62,48,37,34,3.5,2.9,4.2,3.9,3.8,4.2,3.6,4.2,3.8,3,3.5,4.7,42,Charlotte,North Carolina,5
Seattle,Washington,724745,0.1907,83.8,8405,"Seattle, Washington",NA,WA,73,70,60,35.8,1,0.45,0.41,159,5891,36,37,40,43,49,54,58,58,54,47,40,36,5.1,3.8,4.9,3.1,2.2,1.5,0.4,0.6,1.6,3.9,6.6,6.1,49,Seattle,Washington,13
Denver,Colorado,704621,0.1741,153.3,4521,"Denver, Colorado",NA,CO,61,71,48,34.2,1,0.44,0.48,115,4343,21,22,30,35,44,54,60,59,51,39,29,19,1.8,2,2.1,4,5.2,4.6,5.7,4.5,5.7,4.1,2.2,2.9,54,Denver,Colorado,16
Washington,District of Columbia,693972,0.1533,61.1,11148,"Washington, District Of Columbia",NA,DC,0,0,0,33.8,0.9,0.34,0.43,152,5105,28,29,37,47,56,67,72,70,63,52,40,33,2.7,2.3,3.2,3.4,4.6,5.3,4.2,3.2,3.5,5,2.5,3.8,49,NA,NA,NA
Boston,Massachusetts,685094,0.1093,48.3,13938,"Boston, Massachusetts",NA,MA,81,69,73,31.7,0.9,0.34,0.43,148,2758,23,22,29,40,50,59,66,64,58,48,37,28,3.2,3.2,3.8,3.7,3.8,4.7,4.1,3.5,3,5,3.3,4.6,47,Boston,Massachusetts,7
El Paso,Texas,683577,0.0531,256.8,2660,"El Paso, Texas",NA,TX,41,39,31,32.6,1,0.54,0.47,85,2198,32,37,44,51,59,70,72,70,64,53,41,33,0.5,0.4,0.1,0.1,0.5,0.5,2.2,2.4,2.4,0.6,0.2,0.5,51,El Paso,Texas,4
Detroit,Michigan,673104,-0.057,138.8,4847,"Detroit, Michigan",NA,MI,55,52,38,34.8,0.9,0.32,0.45,80,6597,20,20,29,39,50,61,65,64,57,46,34,26,1.7,1.6,2.3,3,3.7,3.2,3.8,4.4,3.5,1.9,2.3,2.1,52,Detroit,Michigan,6
