city,state,pop2017,pop.change,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,weather.avg,precip.avg,results,weather.averages,precip.averages,rank.by.score
New York,New York,8622698,0.0547,301.5,28317,89,68,85,35.9,0.9,0.46,0.44,166,1987,8,27,26,32,44,54,63,70,68,62,52,39,35,4.3,4.2,3.4,2.9,5.6,5.9,4.9,2.9,3,3.7,3.2,4.7,53,0.2720182151123927,0.28350842434981033,-22.42427548223817,47.666666666666664,4.058333333333334,1
Chicago,Illinois,2716450,0.0077,227.3,11900,78,72,65,33.9,0.9,0.41,0.45,113,4363,14,20,21,33,42,52,63,68,67,60,48,36,25,1.9,1.6,2.4,3.6,4.3,4.6,3.5,5.1,2.8,3.9,2.2,2.2,60,0.5785652253641954,-0.14217798758272582,-16.463893458800616,44.583333333333336,3.175,2
Philadelphia,Pennsylvania,1580863,0.0359,134.2,11683,79,66,67,33.9,0.9,0.38,0.42,104,4011,9,26,26,33,44,54,64,70,68,61,50,39,31,3.3,2.6,3.6,4,3.9,4.8,5,5.8,4.3,4.7,2.8,4.7,57,0.31839432688660246,0.2548183000234891,-15.557254738138331,47.166666666666664,4.125,3
Houston,Texas,2312717,0.1012,637.5,3613,49,48,37,32.7,1,0.48,0.49,91,5224,11,47,49,56,62,70,75,76,77,73,64,55,47,3.7,2.9,3.6,5.6,4,6,9.1,5.1,6.1,10,3.7,4,52,-1.3113226150760997,0.6352388578841287,-12.870908825737018,62.583333333333336,5.316666666666666,4
Louisville,Kentucky,621349,0.0402,263.5,2339,96,65,74,37.3,0.9,0.5,0.43,91,4769,6,27,29,39,48,57,66,69,68,61,48,38,31,3.7,2.9,4.5,6.3,5.7,5.3,5.6,3.7,4.6,4.4,3.5,4.8,55,0.19303124552000311,0.4706844216071798,-12.286090108442307,48.416666666666664,4.583333333333333,5
Detroit,Michigan,673104,-0.057,138.8,4847,55,52,38,34.8,0.9,0.32,0.45,80,6597,6,20,20,29,39,50,61,65,64,57,46,34,26,1.7,1.6,2.3,3,3.7,3.2,3.8,4.4,3.5,1.9,2.3,2.1,52,0.8218716947804632,-0.27098893008576996,-10.781799271515789,42.583333333333336,2.7916666666666665,6
Baltimore,Maryland,611648,-0.015,80.9,7598,69,52,57,34.7,0.9,0.36,0.41,100,6955,9,32,32,40,51,60,70,75,73,67,55,45,37,2.7,2.7,3.4,3.8,3.9,4.5,5,4.6,4.4,4.6,2.4,4.1,46,-0.33934587340813366,0.14440462330949902,-10.634361840377421,53.083333333333336,3.841666666666667,7
Jacksonville,Florida,892062,0.0855,747.4,1178,27,40,22,35.7,0.9,0.5,0.42,93,4158,5,47,49,55,63,69,75,77,77,75,66,56,52,3.1,2.9,2.8,2.6,4.8,8.1,6.4,6.7,4.7,3.4,1.8,2.9,38,-1.3993486225190197,0.21339047217874987,-10.244231520216557,63.416666666666664,4.183333333333334,8
Phoenix,Arizona,1626078,0.1248,517.6,3120,41,52,36,33.3,1,0.46,0.5,95,4432,8,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,-1.1876593127639685,-1.1041610650376392,-10.166915123770494,63.5,0.5833333333333334,9
Los Angeles,California,3999759,0.0546,468.7,8484,67,55,51,35,1,0.44,0.45,146,3297,16,48,50,52,55,58,61,65,65,64,60,54,48,3.5,2.9,1.5,0.7,0.5,0,0,0,0.3,0.7,0.8,2.8,74,-0.5346691974013974,-0.7925317822976838,-9.990660618726077,56.666666666666664,1.1416666666666666,10
Buffalo,New York,258612,-0.0103,40.4,6359,68,59,49,32.9,0.9,0.36,0.49,85,4855,1,18,17,25,36,47,57,62,61,54,44,33,25,3,2.7,2.7,3.6,3.1,4.3,3.4,3.9,4.5,5.2,3.5,4.2,41,1.1303126110449706,0.08460867568120752,-9.895246598396145,39.916666666666664,3.675,11
New Orleans,Louisiana,393292,0.1439,169.4,2311,58,64,44,35.5,0.9,0.38,0.42,99,5365,9,47,50,57,64,71,77,79,79,76,67,57,51,5.2,5.6,5.4,7.6,5.1,6.2,6.7,8.7,5.8,3.6,2.1,6.2,45,-1.495335194941665,0.9398427100284636,-9.756201941521336,64.58333333333333,5.683333333333334,12
