Rank,City,State,Population.2017,Census.2010,Change,Land.Area.2016.sqmi,Land.Area.2016.km2,Population.Density.2016.sqmi,Population.Density.2016.km2,Location.Lon,Location.Lat,Climate.URL,key,city.x,state.x,high.jan,high.feb,high.mar,high.apr,high.may,high.jun,high.jul,high.aug,high.sep,high.oct,high.nov,high.dec,low.jan,low.feb,low.mar,low.apr,low.may,low.jun,low.jul,low.aug,low.sep,low.oct,low.nov,low.dec,avg.precip.jan,avg.precip.feb,avg.precip.mar,avg.precip.apr,avg.precip.may,avg.precip.jun,avg.precip.jul,avg.precip.aug,avg.precip.sep,avg.precip.oct,avg.precip.nov,avg.precip.dec,days.precip.jan,days.precip.feb,days.precip.mar,days.precip.apr,days.precip.may,days.precip.jun,days.precip.jul,days.precip.aug,days.precip.sep,days.precip.oct,days.precip.nov,days.precip.dec,hours.sun.jan,hours.sun.feb,hours.sun.mar,hours.sun.apr,hours.sun.may,hours.sun.jun,hours.sun.jul,hours.sun.aug,hours.sun.sep,hours.sun.oct,hours.sun.nov,hours.sun.dec,snow.jan,snow.feb,snow.mar,snow.apr,snow.may,snow.jun,snow.jul,snow.aug,snow.sep,snow.oct,snow.nov,snow.dec,city.y,state.y,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families
1,New York,New York,8622698,8175133,0.0547,301.5,780.9,28317,10933,40.6635N,73.9387W,https://www.usclimatedata.com/climate/new-york/new-york/united-states/usny0996,"New York, New York",New York,New York,39,42,50,60,71,79,85,83,76,65,54,44,26,29,35,44,55,64,70,69,61,50,41,32,3.9,2.95,4.06,3.94,4.45,3.5,11,10,8,8,9,10,11,10,12,11,11,10,302,271,235,213,169,155,154,171,213,237,268,289,NA,NA,NA,NA,NA,NA,4.53,4.13,3.98,3.39,3.82,3.58,NA,NA,NA,NA,NA,NA,New York,New York,62.3,48,55.15,46.23,NA,2677,NA,NY,89,68,85,35.9,0.9,0.46,0.44
2,Los Angeles,California,3999759,3792621,0.0546,468.7,1213.9,8484,3276,34.0194N,118.4108W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,67,55,51,35,1,0.44,0.45
3,Chicago,Illinois,2716450,2695598,0.0077,227.3,588.7,11900,4600,41.8376N,87.6818W,https://www.usclimatedata.com/climate/chicago/illinois/united-states/usil0225,"Chicago, Illinois",Chicago,Illinois,32,34,43,55,65,75,81,79,73,61,47,36,18,20,29,40,50,60,66,65,58,47,34,23,1.85,1.61,2.76,3.03,3.74,4.06,9,8,8,7,10,10,10,10,12,13,12,11,333,299,247,216,136,118,126,142,199,221,274,300,NA,NA,NA,NA,NA,NA,3.39,3.15,2.72,2.8,2.2,1.89,NA,NA,NA,NA,NA,NA,Chicago,Illinois,56.8,42.5,49.65,33.2,NA,2611,NA,IL,78,72,65,33.9,0.9,0.41,0.45
4,Houston,Texas,2312717,2100263,0.1012,637.5,1651.1,3613,1395,29.7866N,95.3909W,https://www.usclimatedata.com/climate/houston/texas/united-states/ustx0617,"Houston, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,49,48,37,32.7,1,0.48,0.49
5,Phoenix,Arizona,1626078,1445632,0.1248,517.6,1340.6,3120,1200,33.5722N,112.0901W,https://www.usclimatedata.com/climate/phoenix/arizona/united-states/usaz0166,"Phoenix, Arizona",Phoenix,Arizona,67,71,77,85,95,104,106,104,100,89,76,66,46,49,53,60,69,78,83,83,77,65,53,45,0.91,0.91,0.98,0.28,0.12,0.04,4,5,3,3,2,4,4,4,3,2,1,1,377,351,334,307,267,236,248,244,314,346,404,404,NA,NA,NA,NA,NA,NA,1.06,0.98,0.63,0.59,0.67,0.87,NA,NA,NA,NA,NA,NA,Phoenix,Arizona,86.7,63.4,75.05,8.04,NA,3832,NA,AZ,41,52,36,33.3,1,0.46,0.5
6,Philadelphia,Pennsylvania,1580863,1526006,0.0359,134.2,347.6,11683,4511,40.0094N,75.1333W,https://www.usclimatedata.com/climate/philadelphia/pennsylvania/united-states/uspa1276,"Philadelphia, Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,79,66,67,33.9,0.9,0.38,0.42
7,San Antonio,Texas,1511946,1327407,0.139,461,1194,3238,1250,29.4724N,98.5251W,https://www.usclimatedata.com/climate/san-antonio/new-mexico/united-states/usnm0570,"San Antonio, New Mexico",San Antonio,New Mexico,56,62,69,77,87,95,96,93,88,78,67,56,20,24,30,37,46,54,60,59,51,38,27,20,0.35,0.47,0.39,0.24,0.51,0.51,1.46,2.09,1.14,1.26,0.55,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,3,San Antonio,New Mexico,77,38.8,57.9,9.84,NA,NA,NA,TX,38,42,36,33.1,1,0.49,0.47
8,San Diego,California,1419516,1307402,0.0858,325.2,842.3,4325,1670,32.8153N,117.1350W,https://www.usclimatedata.com/climate/san-diego/california/united-states/usca0982,"San Diego, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,51,39,37,34.2,1,0.48,0.45
9,Dallas,Texas,1341075,1197816,0.1196,340.9,882.9,3866,1493,32.7933N,96.7665W,https://www.usclimatedata.com/climate/dallas/texas/united-states/ustx1575,"Dallas, Texas",Dallas,Texas,57,61,69,77,84,91,95,96,89,80,68,58,30,35,42,51,60,67,71,71,64,52,43,32,2.32,2.99,3.7,3.43,4.61,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.13,3.35,4.88,3.31,2.8,NA,NA,NA,NA,NA,NA,Dallas,Texas,77.1,51.5,64.3,40.97,NA,NA,NA,TX,46,46,40,32.5,1,0.46,0.49
10,San Jose,California,1035317,945942,0.0945,177.5,459.7,5777,2231,37.2967N,121.8189W,https://www.usclimatedata.com/climate/san-jose/california/united-states/usca0993,"San Jose, California",San Jose,California,60,64,67,70,75,81,84,84,82,76,67,61,42,45,47,49,53,56,58,58,57,53,46,42,2.99,3.31,2.05,1.06,0.39,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.24,0.79,1.89,2.13,NA,NA,NA,NA,NA,NA,San Jose,California,72.6,50.5,61.55,15.09,NA,NA,NA,CA,51,59,41,36.1,1,0.56,0.48
11,Austin,Texas,950715,790390,0.2028,312.7,809.9,3031,1170,30.3039N,97.7544W,https://www.usclimatedata.com/climate/austin/texas/united-states/ustx2742,"Austin, Texas",Austin,Texas,62,65,72,80,87,92,96,97,91,82,71,63,42,45,51,59,67,72,74,75,69,61,51,42,2.2,2.01,2.76,2.09,4.37,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,2.36,2.99,3.9,2.95,2.4,NA,NA,NA,NA,NA,NA,Austin,Texas,79.8,59,69.4,34.25,NA,NA,NA,TX,40,51,34,32.4,1,0.44,0.49
12,Jacksonville,Florida,892062,821784,0.0855,747.4,1935.8,1178,455,30.3369N,81.6616W,https://www.usclimatedata.com/climate/jacksonville/florida/united-states/usfl0663,"Jacksonville, Florida",Jacksonville,Florida,65,69,74,80,87,90,92,92,88,81,74,67,39,43,47,53,61,68,71,71,67,59,49,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jacksonville,Florida,79.9,55.9,67.9,NA,NA,NA,NA,FL,27,40,22,35.7,0.9,0.5,0.42
13,San Francisco,California,884363,805235,0.0983,46.9,121.5,18569,7170,37.7272N,123.0322W,https://www.usclimatedata.com/climate/san-francisco/california/united-states/usca0987,"San Francisco, California",San Francisco,California,57,60,62,63,64,66,67,68,70,69,63,57,46,47,49,49,51,53,54,55,55,54,50,46,4.49,4.45,3.27,1.46,0.71,0.16,1,1,1,4,7,10,11,11,10,6,4,2,300,272,267,243,189,156,165,182,251,281,314,330,NA,NA,NA,NA,NA,NA,0,0.08,0.2,1.1,3.15,4.57,NA,NA,NA,NA,NA,NA,San Francisco,California,63.8,50.8,57.3,23.64,NA,2950,NA,CA,86,71,80,38.4,1,0.45,0.35
14,Columbus,Ohio,879170,787033,0.1171,218.5,565.9,3936,1520,39.9852N,82.9848W,https://www.usclimatedata.com/climate/columbus/ohio/united-states/usoh2095,"Columbus, Ohio",Columbus,Ohio,36,40,52,63,73,82,85,84,77,65,52,41,20,24,32,41,52,61,65,63,56,44,35,26,9.65,6.97,6.1,3.23,3.5,3.98,10,10,8,9,11,13,13,11,13,13,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,3.11,2.64,1.65,3.82,7.4,NA,NA,NA,NA,NA,NA,Columbus,Ohio,62.5,43.3,52.9,56.11,NA,NA,NA,OH,41,47,31,32.1,1,0.42,0.48
15,Fort Worth,Texas,874168,741206,0.1794,342.9,888.1,2491,962,32.7815N,97.3467W,https://www.usclimatedata.com/climate/fort-worth/texas/united-states/ustx1900,"Fort Worth, Texas",Fort Worth,Texas,57,60,68,76,83,91,96,97,89,79,67,57,33,36,44,53,63,70,74,73,66,54,45,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fort Worth,Texas,76.7,53.8,65.25,NA,NA,NA,NA,TX,34,36,20,32,1,0.52,0.54
