city,state,pop2017,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,weather.avg,precip.avg,air.quality,results,rank.by.size,rank.by.score
New York,New York,-13.900238150726562,-1.5218043805889192,-7.257020258730522,-2.7338296315920547,-1.5389857853863618,-3.1319587417545978,0.40703033862614263,-1.2995610791494325,-0.4118174043848241,-0.5456928326709629,10.66934036497792,-1.0633492902285486,-0.7224973052096473,0.2720182151123927,0.28350842434981033,0.0705820351179975,-22.42427548223817,1,1
Chicago,Illinois,-4.031919600391135,-0.977409215276683,-2.3178922381346365,-2.050122403748176,-1.8269235680635514,-2.127483988031096,-0.14013385118466504,-1.2995610791494325,-1.0502780861579077,-0.35151609244136367,0.3396641690348342,0.387980546830921,-1.823052384002465,0.5785652253641954,-0.14217798758272582,0.36836709413326985,-16.463893458800616,3,2
Philadelphia,Pennsylvania,-2.1345501947007954,-0.2943473569132166,-2.252606815678079,-2.1122776062794375,-1.395016894047767,-2.227931463403446,-0.14013385118466504,-1.2995610791494325,-1.4333544952217572,-0.9340463131301614,-1.4144317887668216,0.17296871911840697,-0.90592315167511694,0.31839432688660246,0.2548183000234891,0.24074492598386743,-15.557254738138331,6,3
Houston,Texas,-3.3573516084472526,-3.986990034833007,0.17528884895058683,-0.247621530341586,-0.0992968720004135,-0.721219332818193,-0.46843236507114844,0.5209952074067536,-0.15643313167559136,0.4251908684770323,-3.9481259500358807,0.9139043640481782,-1.272774844606056,-1.3113226150760997,0.6352388578841287,0.028041312401530023,-12.870908825737018,4,4
Louisville,Kentucky,-0.5313683090931227,-1.2430036220732188,0.5585774582116674,-3.1689160493108868,-1.3230324483784697,-2.579497627206672,0.7900452714937076,-1.2995610791494325,0.09895114103364207,-0.7398695729005622,-3.9481259500358807,0.6359771435675139,-0.35564561227870806,0.19303124552000311,0.4706844216071798,0.15566348055093246,-12.286090108442307,29,5
Detroit,Michigan,-0.6178419598054886,-0.3280969224177489,-0.1959655810558287,-0.6205527455291563,-0.38723465467760315,-0.771443070504368,0.10609003423019803,-1.2995610791494325,-2.1995073133494567,-0.35151609244136367,-6.092021009571238,1.752572657938183,-0.35564561227870806,0.8218716947804632,-0.27098893008576996,0.028041312401530023,-10.781799271515789,23,6
Baltimore,Maryland,-0.5151596164922018,0.09670739121538421,-1.0236162592954148,-1.4907255809668203,-0.38723465467760315,-1.725694086541695,0.0787318247396592,-1.2995610791494325,-1.6887387679309906,-1.1282230533597606,-2.1940299922342246,1.9712494599867059,-0.90592315167511694,-0.33934587340813366,0.14440462330949902,-0.22720302389727487,-10.634361840377421,30,7
Jacksonville,Florida,-0.9836828952258001,-4.793311175908678,0.9078695110783193,1.1197929253461718,0.47657869335396585,0.03213673247443359,0.35231391964506303,-1.2995610791494325,0.09895114103364207,-0.9340463131301614,-3.558326848302179,0.26276059035062166,-0.17221976581323842,-1.3993486225190197,0.21339047217874987,-0.5675288056290146,-10.244231520216557,12,8
Phoenix,Arizona,-2.2100966369181587,-3.1073002730953108,0.32361010826433306,0.24962008990850776,-0.38723465467760315,-0.6709955951320179,-0.3042831081279077,0.5209952074067536,-0.4118174043848241,0.6193676087066315,-3.1685277465684782,0.43012775169502176,-0.7224973052096473,-1.1876593127639685,-1.1041610650376392,0.9639372121638146,-10.166915123770494,5,9
Los Angeles,California,-6.176106910255606,-2.7485277180580012,-1.2901733297862448,-1.3664151759042968,-0.6031879916854954,-1.4243516604246445,0.16080645321127957,0.5209952074067536,-0.6672016770940575,-0.35151609244136367,6.771349347640906,-0.2631632268666356,-2.1899040769334044,-0.5346691974013974,-0.7925317822976838,0.9639372121638146,-9.990660618726077,2,10
Buffalo,New York,0.07470245969156467,0.39385030489659134,-0.6508575568821661,-1.4285703784355586,-0.891125774362685,-1.3239041850522941,-0.41371594609006884,-1.2995610791494325,-1.6887387679309906,0.4251908684770323,-5.117523255236984,0.6885084423836394,0.56148362004864,1.1303126110449706,0.08460867568120752,-0.43990663747961223,-9.895246598396145,81,11
New Orleans,Louisiana,-0.15032451891806625,-0.5526049016435498,0.5670013836899329,-0.8070183531229415,-1.2510480027091722,-1.0727854966214188,0.2975975006639815,-1.2995610791494325,-1.4333544952217572,-0.9340463131301614,-2.3889295431010753,1.0000312609443842,-0.90592315167511694,-1.495335194941665,0.9398427100284636,-0.26974374661374234,-9.756201941521336,49,12
