city,state,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall
Abilene,Texas,76.2,52.9,64.55,24.83,NA,NA,NA
Adamsville,Rhode Island,60.5,42.5,51.5,47.21,NA,NA,NA
Akron,Ohio,60.2,42.9,51.55,36.06,NA,NA,NA
Allentown,Pennsylvania,61.3,40.8,51.05,45.35,NA,NA,NA
Amarillo,Texas,70.9,43.7,57.3,20.31,NA,NA,NA
Anaheim,California,78.4,55.7,67.05,13.4,NA,NA,NA
Ann Arbor,Michigan,58.8,40.3,49.55,37.55,NA,NA,NA
Arlington,Texas,77.1,55.1,66.1,38.36,NA,NA,NA
Athens,Georgia,73.6,51.2,62.4,46.38,NA,NA,NA
Atlanta,Georgia,71.9,53.2,62.55,49.74,NA,NA,NA
Augusta,Georgia,76.8,50.9,63.85,43.58,NA,NA,NA
Aurora,Illinois,59,41.3,50.15,37.67,NA,NA,NA
Austin,Texas,79.8,59,69.4,34.25,NA,NA,NA
Bakersfield,California,76.8,53.4,65.1,6.45,NA,NA,NA
Baltimore,Maryland,66.3,50.6,58.45,40.72,NA,2579,NA
Baton Rouge,Louisiana,78.9,57.8,68.35,60.6,NA,NA,NA
Beaumont,Texas,78.3,58.9,68.6,60.38,NA,NA,NA
Bellevue,Iowa,58.9,37.8,48.35,35.64,NA,NA,NA
Berkeley,California,67.8,48.4,58.1,26.75,NA,NA,NA
Billings,Montana,59.3,36.8,48.05,13.66,NA,NA,NA
Birmingham,Alabama,73.8,52.8,63.3,53.71,NA,2662,NA
Boise,Idaho,63.7,41.3,52.5,11.66,NA,NA,NA
Boston,Massachusetts,58.7,44.1,51.4,43.76,NA,2615,NA
Boulder,Colorado,65.3,37.8,51.55,20.66,NA,NA,NA
Bridgeport,Connecticut,60.2,44.5,52.35,42.8,NA,NA,NA
Brownsville,Texas,83.7,65.5,74.6,27.37,NA,NA,NA
Buffalo,New York,56.3,40.2,48.25,40.47,NA,NA,NA
Burbank,California,76.3,51.7,64,17.35,NA,NA,NA
Carlsbad,California,68.5,55.2,61.85,11.85,NA,NA,NA
Cary,North Carolina,71.6,50,60.8,43.29,NA,NA,NA
Cedar Rapids,Iowa,60.5,39.8,50.15,37.63,NA,NA,NA
Charleston,South Carolina,76.1,55.6,65.85,51.06,119,2993,NA
Charlotte,North Carolina,70.8,48.8,59.8,41.63,NA,NA,NA
Chattanooga,Tennessee,71.6,50.1,60.85,52.44,NA,NA,NA
Chicago,Illinois,56.8,42.5,49.65,33.2,NA,2611,NA
Chula Vista,California,71.9,55.2,63.55,9.81,NA,NA,NA
Clarksville,Tennessee,70.2,48,59.1,50.98,NA,NA,NA
Clearwater,Florida,81.9,65.4,73.65,54.73,NA,NA,NA
Cleveland,Ohio,59.6,43.1,51.35,39.12,NA,NA,NA
College Station,Texas,79.3,58.8,69.05,40.09,NA,NA,NA
Colorado Springs,Colorado,62.1,35.8,48.95,16.56,NA,NA,NA
Columbia,Missouri,64.7,44.3,54.5,42.64,NA,NA,NA
Columbus,Georgia,76.1,55.1,65.6,46.76,NA,NA,NA
Columbus,Ohio,62.5,43.3,52.9,56.11,NA,NA,NA
Corona,California,79.4,50.2,64.8,12.01,NA,NA,NA
Costa Mesa,California,72,55.8,63.9,13.4,NA,NA,NA
Dallas,Texas,77.1,51.5,64.3,40.97,NA,NA,NA
Davenport,Iowa,59.3,39.3,49.3,35.97,NA,NA,NA
Denton,Texas,76,53.7,64.85,38.08,NA,NA,NA
Denver,Colorado,64,36.3,50.15,15.54,NA,NA,NA
Des Moines,Iowa,60.3,41.4,50.85,36.01,NA,NA,NA
Detroit,Michigan,56.7,40.7,48.7,30.97,NA,2375,NA
Durham,North Carolina,70.2,47.8,59,48.1,NA,NA,NA
El Cajon,California,78,52.7,65.35,12.37,NA,NA,NA
Elgin,Illinois,58.8,38.6,48.7,37.8,NA,NA,NA
Elizabeth,New Jersey,63.3,46.5,54.9,46.24,NA,NA,NA
El Paso,Texas,77.5,51.8,64.65,9.69,NA,NA,NA
Escondido,California,77.5,52.6,65.05,14.98,NA,NA,NA
Eugene,Oregon,63.3,41.7,52.5,46.15,NA,NA,NA
Evansville,Indiana,66.9,45.7,56.3,45.39,NA,NA,NA
Everett,Washington,57.6,44.7,51.15,36.1,NA,NA,NA
Fairfield,California,73.2,48.7,60.95,24.89,NA,NA,NA
Fargo,North Dakota,52.5,31.9,42.2,22.58,NA,NA,NA
Fayetteville,North Carolina,72.5,49.8,61.15,45.34,NA,NA,NA
Fort Collins,Colorado,63.7,36.8,50.25,16.05,NA,NA,NA
Fort Lauderdale,Florida,83.3,67.8,75.55,66.49,NA,NA,NA
Fort Wayne,Indiana,60.1,40.6,50.35,38.26,NA,NA,NA
Fort Worth,Texas,76.7,53.8,65.25,NA,NA,NA,NA
Fresno,California,76.9,51.3,64.1,12.83,NA,NA,NA
Fullerton,California,75.1,54.9,65,13.88,NA,NA,NA
Gainesville,Florida,79.9,57.5,68.7,47.37,NA,NA,NA
Grand Prairie,Texas,76.7,56.7,66.7,37.36,NA,NA,NA
Grand Rapids,Michigan,57.8,40.3,49.05,38.27,NA,NA,NA
Greeley,Colorado,68.8,36.7,52.75,14.67,NA,NA,NA
Green Bay,Wisconsin,53.5,34.8,44.15,29.53,NA,NA,NA
Greensboro,North Carolina,69.3,48.8,59.05,42.36,NA,NA,NA
Hampton,Virginia,70.4,53.4,61.9,NA,NA,NA,NA
Hartford,Connecticut,60.1,39.5,49.8,44.23,NA,NA,NA
Hayward,California,67.1,50.6,58.85,17.99,NA,NA,NA
Henderson,Nevada,77.4,48.2,62.8,6.92,NA,NA,NA
Hialeah,Florida,82.4,69.5,75.95,70.44,NA,NA,NA
High Point,North Carolina,71.8,49.1,60.45,46.16,NA,NA,NA
Hillsboro,Oregon,63,43.8,53.4,38.17,NA,NA,NA
Hollywood,Florida,82.9,68.6,75.75,64.37,NA,NA,NA
Honolulu,Hawaii,84.5,70.7,77.6,17.13,NA,3041,NA
Huntsville,Alabama,72.8,51.1,61.95,54.33,NA,NA,NA
Independence,Missouri,64.7,44.2,54.45,43.62,NA,NA,NA
